Code,Name,ipo_date,,
000338.SZ,潍柴动力,2007/4/30,CSRC汽车制造业,Wind资本货物
000400.SZ,许继电气,1997/4/18,CSRC电气机械及器材制造业,Wind资本货物
000401.SZ,冀东水泥,1996/6/14,CSRC非金属矿物制品业,Wind材料Ⅱ
000402.SZ,金融街,1996/6/26,CSRC房地产业,Wind房地产Ⅱ
000403.SZ,振兴生化,1996/6/28,CSRC医药制造业,Wind制药、生物科技与生命科学
000404.SZ,长虹华意,1996/6/19,CSRC通用设备制造业,Wind资本货物
000407.SZ,胜利股份,1996/7/3,CSRC燃气生产和供应业,Wind公用事业Ⅱ
000408.SZ,藏格控股,1996/6/28,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000409.SZ,*ST地矿,1996/6/27,CSRC综合,Wind资本货物
000410.SZ,*ST沈机,1996/7/18,CSRC通用设备制造业,Wind资本货物
000411.SZ,英特集团,1996/7/16,CSRC批发业,Wind医疗保健设备与服务
000413.SZ,东旭光电,1996/9/25,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000415.SZ,渤海租赁,1996/7/16,CSRC租赁业,Wind多元金融
000416.SZ,民生控股,1996/7/19,CSRC其他金融业,Wind多元金融
000417.SZ,合肥百货,1996/8/12,CSRC零售业,Wind零售业
000419.SZ,通程控股,1996/8/16,CSRC零售业,Wind零售业
000420.SZ,吉林化纤,1996/8/2,CSRC化学纤维制造业,Wind材料Ⅱ
000421.SZ,南京公用,1996/8/6,CSRC燃气生产和供应业,Wind公用事业Ⅱ
000422.SZ,ST宜化,1996/8/15,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000423.SZ,东阿阿胶,1996/7/29,CSRC医药制造业,Wind制药、生物科技与生命科学
000425.SZ,徐工机械,1996/8/28,CSRC专用设备制造业,Wind资本货物
000426.SZ,兴业矿业,1996/8/28,CSRC有色金属矿采选业,Wind材料Ⅱ
000428.SZ,华天酒店,1996/8/8,CSRC住宿业,Wind消费者服务Ⅱ
