Code,Name,ipo_date,,
002400.SZ,省广集团,2010/5/6,CSRC商务服务业,Wind媒体Ⅱ
002401.SZ,中远海科,2010/5/6,CSRC软件和信息技术服务业,Wind软件与服务
002402.SZ,和而泰,2010/5/11,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002403.SZ,爱仕达,2010/5/11,CSRC金属制品业,Wind耐用消费品与服装
002404.SZ,嘉欣丝绸,2010/5/11,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002405.SZ,四维图新,2010/5/18,CSRC软件和信息技术服务业,Wind软件与服务
002406.SZ,远东传动,2010/5/18,CSRC汽车制造业,Wind汽车与汽车零部件
002407.SZ,多氟多,2010/5/18,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002408.SZ,齐翔腾达,2010/5/18,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002409.SZ,雅克科技,2010/5/25,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002410.SZ,广联达,2010/5/25,CSRC软件和信息技术服务业,Wind软件与服务
002411.SZ,延安必康,2010/5/25,CSRC医药制造业,Wind制药、生物科技与生命科学
002412.SZ,汉森制药,2010/5/25,CSRC医药制造业,Wind制药、生物科技与生命科学
002413.SZ,雷科防务,2010/5/28,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
002414.SZ,高德红外,2010/7/16,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002415.SZ,海康威视,2010/5/28,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002416.SZ,爱施德,2010/5/28,CSRC批发业,Wind技术硬件与设备
002417.SZ,深南股份,2010/6/1,CSRC软件和信息技术服务业,Wind软件与服务
002418.SZ,康盛股份,2010/6/1,CSRC通用设备制造业,Wind耐用消费品与服装
002419.SZ,天虹股份,2010/6/1,CSRC零售业,Wind零售业
002420.SZ,*ST毅昌,2010/6/1,CSRC橡胶和塑料制品业,Wind耐用消费品与服装
002421.SZ,达实智能,2010/6/3,CSRC软件和信息技术服务业,Wind软件与服务
002422.SZ,科伦药业,2010/6/3,CSRC医药制造业,Wind制药、生物科技与生命科学
002423.SZ,中原特钢,2010/6/3,CSRC其他金融业,Wind多元金融
002424.SZ,贵州百灵,2010/6/3,CSRC医药制造业,Wind制药、生物科技与生命科学
002425.SZ,凯撒文化,2010/6/8,CSRC互联网和相关服务,Wind软件与服务
002426.SZ,胜利精密,2010/6/8,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002427.SZ,*ST尤夫,2010/6/8,CSRC化学纤维制造业,Wind材料Ⅱ
002428.SZ,云南锗业,2010/6/8,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002429.SZ,兆驰股份,2010/6/10,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
002430.SZ,杭氧股份,2010/6/10,CSRC专用设备制造业,Wind资本货物
002431.SZ,棕榈股份,2010/6/10,CSRC土木工程建筑业,Wind资本货物
002432.SZ,九安医疗,2010/6/10,CSRC专用设备制造业,Wind医疗保健设备与服务
002433.SZ,太安堂,2010/6/18,CSRC医药制造业,Wind制药、生物科技与生命科学
002434.SZ,万里扬,2010/6/18,CSRC汽车制造业,Wind汽车与汽车零部件
002435.SZ,长江润发,2010/6/18,CSRC医药制造业,Wind制药、生物科技与生命科学
002436.SZ,兴森科技,2010/6/18,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002437.SZ,誉衡药业,2010/6/23,CSRC医药制造业,Wind制药、生物科技与生命科学
002438.SZ,江苏神通,2010/6/23,CSRC通用设备制造业,Wind资本货物
002439.SZ,启明星辰,2010/6/23,CSRC互联网和相关服务,Wind软件与服务
002440.SZ,闰土股份,2010/7/6,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002441.SZ,众业达,2010/7/6,CSRC批发业,Wind资本货物
002442.SZ,龙星化工,2010/7/6,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002443.SZ,金洲管道,2010/7/6,CSRC金属制品业,Wind材料Ⅱ
002444.SZ,巨星科技,2010/7/13,CSRC金属制品业,Wind资本货物
002445.SZ,ST中南,2010/7/13,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
002446.SZ,盛路通信,2010/7/13,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002447.SZ,晨鑫科技,2010/7/13,CSRC互联网和相关服务,Wind软件与服务
002448.SZ,中原内配,2010/7/16,CSRC汽车制造业,Wind汽车与汽车零部件
002449.SZ,国星光电,2010/7/16,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
002450.SZ,*ST康得,2010/7/16,CSRC橡胶和塑料制品业,Wind材料Ⅱ
002451.SZ,摩恩电气,2010/7/20,CSRC电气机械及器材制造业,Wind资本货物
002452.SZ,长高集团,2010/7/20,CSRC电气机械及器材制造业,Wind资本货物
002453.SZ,华软科技,2010/7/20,CSRC软件和信息技术服务业,Wind软件与服务
002454.SZ,松芝股份,2010/7/20,CSRC汽车制造业,Wind汽车与汽车零部件
002455.SZ,百川股份,2010/8/3,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002456.SZ,欧菲光,2010/8/3,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002457.SZ,青龙管业,2010/8/3,CSRC非金属矿物制品业,Wind资本货物
002458.SZ,益生股份,2010/8/10,CSRC畜牧业,Wind食品、饮料与烟草
002459.SZ,天业通联,2010/8/10,CSRC专用设备制造业,Wind资本货物
002460.SZ,赣锋锂业,2010/8/10,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002461.SZ,珠江啤酒,2010/8/18,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
002462.SZ,嘉事堂,2010/8/18,CSRC批发业,Wind医疗保健设备与服务
002463.SZ,沪电股份,2010/8/18,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002464.SZ,众应互联,2010/8/31,CSRC互联网和相关服务,Wind软件与服务
002465.SZ,海格通信,2010/8/31,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002466.SZ,天齐锂业,2010/8/31,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002467.SZ,二六三,2010/9/8,CSRC互联网和相关服务,Wind电信服务Ⅱ
002468.SZ,申通快递,2010/9/8,CSRC邮政业,Wind运输
002469.SZ,三维工程,2010/9/8,CSRC专业技术服务业,Wind资本货物
002470.SZ,金正大,2010/9/8,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002471.SZ,中超控股,2010/9/10,CSRC电气机械及器材制造业,Wind资本货物
002472.SZ,双环传动,2010/9/10,CSRC通用设备制造业,Wind资本货物
002473.SZ,圣莱达,2010/9/10,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002474.SZ,榕基软件,2010/9/15,CSRC软件和信息技术服务业,Wind软件与服务
002475.SZ,立讯精密,2010/9/15,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002476.SZ,宝莫股份,2010/9/15,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002477.SZ,雏鹰退,2010/9/15,CSRC畜牧业,Wind食品、饮料与烟草
002478.SZ,常宝股份,2010/9/21,CSRC金属制品业,Wind材料Ⅱ
002479.SZ,富春环保,2010/9/21,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
002480.SZ,新筑股份,2010/9/21,CSRC通用设备制造业,Wind资本货物
002481.SZ,双塔食品,2010/9/21,CSRC食品制造业,Wind食品、饮料与烟草
002482.SZ,广田集团,2010/9/29,CSRC建筑装饰和其他建筑业,Wind资本货物
002483.SZ,润邦股份,2010/9/29,CSRC通用设备制造业,Wind资本货物
002484.SZ,江海股份,2010/9/29,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002485.SZ,希努尔,2010/10/15,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002486.SZ,嘉麟杰,2010/10/15,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002487.SZ,大金重工,2010/10/15,CSRC金属制品业,Wind资本货物
002488.SZ,金固股份,2010/10/21,CSRC汽车制造业,Wind汽车与汽车零部件
002489.SZ,浙江永强,2010/10/21,CSRC家具制造业,Wind耐用消费品与服装
002490.SZ,山东墨龙,2010/10/21,CSRC专用设备制造业,Wind能源Ⅱ
002491.SZ,通鼎互联,2010/10/21,CSRC电气机械及器材制造业,Wind技术硬件与设备
002492.SZ,恒基达鑫,2010/11/2,CSRC仓储业,Wind运输
002493.SZ,荣盛石化,2010/11/2,CSRC化学纤维制造业,Wind材料Ⅱ
002494.SZ,华斯股份,2010/11/2,CSRC皮革、毛皮、羽毛及其制品和制鞋业,Wind耐用消费品与服装
002495.SZ,佳隆股份,2010/11/2,CSRC食品制造业,Wind食品、饮料与烟草
002496.SZ,辉丰股份,2010/11/9,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002497.SZ,雅化集团,2010/11/9,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002498.SZ,汉缆股份,2010/11/9,CSRC电气机械及器材制造业,Wind资本货物
002499.SZ,*ST科林,2010/11/9,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
002500.SZ,山西证券,2010/11/15,CSRC资本市场服务,Wind多元金融
002501.SZ,*ST利源,2010/11/17,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002502.SZ,鼎龙文化,2010/11/17,CSRC广播、电视、电影和影视录音制作业,Wind媒体Ⅱ
002503.SZ,搜于特,2010/11/17,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002504.SZ,弘高创意,2010/11/18,CSRC建筑装饰和其他建筑业,Wind资本货物
002505.SZ,大康农业,2010/11/18,CSRC批发业,Wind食品、饮料与烟草
002506.SZ,协鑫集成,2010/11/18,CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
002507.SZ,涪陵榨菜,2010/11/23,CSRC食品制造业,Wind食品、饮料与烟草
002508.SZ,老板电器,2010/11/23,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002509.SZ,天广中茂,2010/11/23,CSRC专用设备制造业,Wind资本货物
002510.SZ,天汽模,2010/11/25,CSRC汽车制造业,Wind汽车与汽车零部件
002511.SZ,中顺洁柔,2010/11/25,CSRC造纸及纸制品业,Wind家庭与个人用品
002512.SZ,达华智能,2010/12/3,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
002513.SZ,蓝丰生化,2010/12/3,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002514.SZ,宝馨科技,2010/12/3,CSRC金属制品业,Wind资本货物
002515.SZ,金字火腿,2010/12/3,CSRC农副食品加工业,Wind食品、饮料与烟草
002516.SZ,旷达科技,2010/12/7,CSRC纺织业,Wind汽车与汽车零部件
002517.SZ,恺英网络,2010/12/7,CSRC互联网和相关服务,Wind软件与服务
002518.SZ,科士达,2010/12/7,CSRC电气机械及器材制造业,Wind资本货物
002519.SZ,银河电子,2010/12/7,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
002520.SZ,日发精机,2010/12/10,CSRC通用设备制造业,Wind资本货物
002521.SZ,齐峰新材,2010/12/10,CSRC造纸及纸制品业,Wind材料Ⅱ
002522.SZ,浙江众成,2010/12/10,CSRC橡胶和塑料制品业,Wind材料Ⅱ
002523.SZ,天桥起重,2010/12/10,CSRC通用设备制造业,Wind资本货物
002524.SZ,光正集团,2010/12/17,CSRC卫生,Wind制药、生物科技与生命科学
002526.SZ,山东矿机,2010/12/17,CSRC专用设备制造业,Wind资本货物
002527.SZ,新时达,2010/12/24,CSRC电气机械及器材制造业,Wind资本货物
002528.SZ,英飞拓,2010/12/24,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002529.SZ,海源复材,2010/12/24,CSRC通用设备制造业,Wind材料Ⅱ
002530.SZ,金财互联,2010/12/31,CSRC互联网和相关服务,Wind软件与服务
002531.SZ,天顺风能,2010/12/31,CSRC电气机械及器材制造业,Wind资本货物
002532.SZ,新界泵业,2010/12/31,CSRC通用设备制造业,Wind资本货物
002533.SZ,金杯电工,2010/12/31,CSRC电气机械及器材制造业,Wind资本货物
002534.SZ,杭锅股份,2011/1/10,CSRC通用设备制造业,Wind资本货物
002535.SZ,林州重机,2011/1/11,CSRC专用设备制造业,Wind资本货物
002536.SZ,飞龙股份,2011/1/11,CSRC汽车制造业,Wind汽车与汽车零部件
002537.SZ,海联金汇,2011/1/10,CSRC通用设备制造业,Wind汽车与汽车零部件
002538.SZ,司尔特,2011/1/18,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002539.SZ,云图控股,2011/1/18,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002540.SZ,亚太科技,2011/1/18,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002541.SZ,鸿路钢构,2011/1/18,CSRC金属制品业,Wind资本货物
002542.SZ,中化岩土,2011/1/28,CSRC土木工程建筑业,Wind资本货物
002543.SZ,万和电气,2011/1/28,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002544.SZ,杰赛科技,2011/1/28,CSRC软件和信息技术服务业,Wind技术硬件与设备
002545.SZ,东方铁塔,2011/2/11,CSRC金属制品业,Wind资本货物
002546.SZ,新联电子,2011/2/11,CSRC电气机械及器材制造业,Wind资本货物
002547.SZ,春兴精工,2011/2/18,CSRC金属制品业,Wind资本货物
002548.SZ,金新农,2011/2/18,CSRC农副食品加工业,Wind食品、饮料与烟草
002549.SZ,凯美特气,2011/2/18,CSRC生态保护和环境治理业,Wind材料Ⅱ
002550.SZ,千红制药,2011/2/18,CSRC医药制造业,Wind制药、生物科技与生命科学
002551.SZ,尚荣医疗,2011/2/25,CSRC专用设备制造业,Wind医疗保健设备与服务
002552.SZ,宝鼎科技,2011/2/25,CSRC通用设备制造业,Wind资本货物
002553.SZ,南方轴承,2011/2/25,CSRC通用设备制造业,Wind汽车与汽车零部件
002554.SZ,惠博普,2011/2/25,CSRC开采辅助活动,Wind能源Ⅱ
002555.SZ,三七互娱,2011/3/2,CSRC互联网和相关服务,Wind软件与服务
002556.SZ,辉隆股份,2011/3/2,CSRC零售业,Wind材料Ⅱ
002557.SZ,洽洽食品,2011/3/2,CSRC农副食品加工业,Wind食品、饮料与烟草
002558.SZ,巨人网络,2011/3/2,CSRC互联网和相关服务,Wind软件与服务
002559.SZ,亚威股份,2011/3/3,CSRC通用设备制造业,Wind资本货物
002560.SZ,通达股份,2011/3/3,CSRC电气机械及器材制造业,Wind资本货物
002561.SZ,徐家汇,2011/3/3,CSRC零售业,Wind零售业
002562.SZ,兄弟科技,2011/3/10,CSRC医药制造业,Wind制药、生物科技与生命科学
002563.SZ,森马服饰,2011/3/11,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002564.SZ,天沃科技,2011/3/10,CSRC专业技术服务业,Wind资本货物
002565.SZ,顺灏股份,2011/3/18,CSRC造纸及纸制品业,Wind材料Ⅱ
002566.SZ,益盛药业,2011/3/18,CSRC医药制造业,Wind制药、生物科技与生命科学
002567.SZ,唐人神,2011/3/25,CSRC农副食品加工业,Wind食品、饮料与烟草
002568.SZ,百润股份,2011/3/25,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
002569.SZ,*ST步森,2011/4/12,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002570.SZ,贝因美,2011/4/12,CSRC食品制造业,Wind食品、饮料与烟草
002571.SZ,德力股份,2011/4/12,CSRC非金属矿物制品业,Wind耐用消费品与服装
002572.SZ,索菲亚,2011/4/12,CSRC家具制造业,Wind耐用消费品与服装
002573.SZ,清新环境,2011/4/22,CSRC生态保护和环境治理业,Wind商业和专业服务
002574.SZ,明牌珠宝,2011/4/22,CSRC其他制造业,Wind耐用消费品与服装
002575.SZ,群兴玩具,2011/4/22,CSRC文教、工美、体育和娱乐用品制造业,Wind耐用消费品与服装
002576.SZ,通达动力,2011/4/28,CSRC电气机械及器材制造业,Wind资本货物
002577.SZ,雷柏科技,2011/4/28,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002578.SZ,闽发铝业,2011/4/28,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002579.SZ,中京电子,2011/5/6,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002580.SZ,圣阳股份,2011/5/6,CSRC电气机械及器材制造业,Wind资本货物
002581.SZ,未名医药,2011/5/20,CSRC医药制造业,Wind制药、生物科技与生命科学
002582.SZ,好想你,2011/5/20,CSRC农副食品加工业,Wind食品、饮料与烟草
002583.SZ,海能达,2011/5/27,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002584.SZ,西陇科学,2011/6/2,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002585.SZ,双星新材,2011/6/2,CSRC橡胶和塑料制品业,Wind材料Ⅱ
002586.SZ,ST围海,2011/6/2,CSRC土木工程建筑业,Wind资本货物
002587.SZ,奥拓电子,2011/6/10,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002588.SZ,史丹利,2011/6/10,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002589.SZ,瑞康医药,2011/6/10,CSRC批发业,Wind医疗保健设备与服务
002590.SZ,万安科技,2011/6/10,CSRC汽车制造业,Wind汽车与汽车零部件
002591.SZ,恒大高新,2011/6/21,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002592.SZ,八菱科技,2011/11/11,CSRC汽车制造业,Wind汽车与汽车零部件
002593.SZ,日上集团,2011/6/28,CSRC汽车制造业,Wind材料Ⅱ
002594.SZ,比亚迪,2011/6/30,CSRC汽车制造业,Wind汽车与汽车零部件
002595.SZ,豪迈科技,2011/6/28,CSRC专用设备制造业,Wind资本货物
002596.SZ,海南瑞泽,2011/7/7,CSRC非金属矿物制品业,Wind材料Ⅱ
002597.SZ,金禾实业,2011/7/7,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002598.SZ,山东章鼓,2011/7/7,CSRC通用设备制造业,Wind资本货物
002599.SZ,盛通股份,2011/7/15,CSRC印刷和记录媒介复制业,Wind商业和专业服务
002600.SZ,领益智造,2011/7/15,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002601.SZ,龙蟒佰利,2011/7/15,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002602.SZ,世纪华通,2011/7/28,CSRC汽车制造业,Wind软件与服务
002603.SZ,以岭药业,2011/7/28,CSRC医药制造业,Wind制药、生物科技与生命科学
002604.SZ,*ST龙力,2011/7/28,CSRC农副食品加工业,Wind食品、饮料与烟草
002605.SZ,姚记科技,2011/8/5,CSRC文教、工美、体育和娱乐用品制造业,Wind耐用消费品与服装
002606.SZ,大连电瓷,2011/8/5,CSRC电气机械及器材制造业,Wind资本货物
002607.SZ,中公教育,2011/8/10,CSRC教育,Wind消费者服务Ⅱ
002608.SZ,江苏国信,2011/8/10,CSRC电力、热力生产和供应业,Wind多元金融
002609.SZ,捷顺科技,2011/8/15,CSRC软件和信息技术服务业,Wind技术硬件与设备
002610.SZ,爱康科技,2011/8/15,CSRC电气机械及器材制造业,Wind半导体与半导体生产设备
002611.SZ,东方精工,2011/8/30,CSRC电气机械及器材制造业,Wind资本货物
002612.SZ,朗姿股份,2011/8/30,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002613.SZ,北玻股份,2011/8/30,CSRC专用设备制造业,Wind资本货物
002614.SZ,奥佳华,2011/9/9,CSRC专用设备制造业,Wind医疗保健设备与服务
002615.SZ,哈尔斯,2011/9/9,CSRC金属制品业,Wind耐用消费品与服装
002616.SZ,长青集团,2011/9/20,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002617.SZ,露笑科技,2011/9/20,CSRC电气机械及器材制造业,Wind资本货物
002618.SZ,丹邦科技,2011/9/20,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002619.SZ,艾格拉斯,2011/9/29,CSRC互联网和相关服务,Wind软件与服务
002620.SZ,瑞和股份,2011/9/29,CSRC建筑装饰和其他建筑业,Wind资本货物
002621.SZ,美吉姆,2011/9/29,CSRC教育,Wind消费者服务Ⅱ
002622.SZ,融钰集团,2011/10/18,CSRC电气机械及器材制造业,Wind资本货物
002623.SZ,亚玛顿,2011/10/13,CSRC非金属矿物制品业,Wind半导体与半导体生产设备
002624.SZ,完美世界,2011/10/28,CSRC互联网和相关服务,Wind软件与服务
002625.SZ,光启技术,2011/11/3,CSRC汽车制造业,Wind资本货物
002626.SZ,金达威,2011/10/28,CSRC食品制造业,Wind制药、生物科技与生命科学
002627.SZ,宜昌交运,2011/11/3,CSRC道路运输业,Wind运输
002628.SZ,成都路桥,2011/11/3,CSRC土木工程建筑业,Wind资本货物
002629.SZ,*ST仁智,2011/11/3,CSRC开采辅助活动,Wind能源Ⅱ
002630.SZ,华西能源,2011/11/11,CSRC通用设备制造业,Wind资本货物
002631.SZ,德尔未来,2011/11/11,CSRC木材加工及木、竹、藤、棕、草制品业,Wind材料Ⅱ
002632.SZ,道明光学,2011/11/22,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002633.SZ,申科股份,2011/11/22,CSRC通用设备制造业,Wind资本货物
002634.SZ,棒杰股份,2011/12/5,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002635.SZ,安洁科技,2011/11/25,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002636.SZ,金安国纪,2011/11/25,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002637.SZ,赞宇科技,2011/11/25,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002638.SZ,勤上股份,2011/11/25,CSRC电气机械及器材制造业,Wind资本货物
002639.SZ,雪人股份,2011/12/5,CSRC通用设备制造业,Wind资本货物
002640.SZ,跨境通,2011/12/8,CSRC零售业,Wind零售业
002641.SZ,永高股份,2011/12/8,CSRC橡胶和塑料制品业,Wind资本货物
002642.SZ,*ST荣联,2011/12/20,CSRC软件和信息技术服务业,Wind软件与服务
002643.SZ,万润股份,2011/12/20,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002644.SZ,佛慈制药,2011/12/22,CSRC医药制造业,Wind制药、生物科技与生命科学
002645.SZ,华宏科技,2011/12/20,CSRC专用设备制造业,Wind资本货物
002646.SZ,青青稞酒,2011/12/22,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
002647.SZ,仁东控股,2011/12/28,CSRC其他金融业,Wind软件与服务
002648.SZ,卫星石化,2011/12/28,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002649.SZ,博彦科技,2012/1/6,CSRC软件和信息技术服务业,Wind软件与服务
002650.SZ,加加食品,2012/1/6,CSRC食品制造业,Wind食品、饮料与烟草
002651.SZ,利君股份,2012/1/6,CSRC专用设备制造业,Wind资本货物
002652.SZ,扬子新材,2012/1/19,CSRC金属制品业,Wind资本货物
002653.SZ,海思科,2012/1/17,CSRC医药制造业,Wind制药、生物科技与生命科学
002654.SZ,万润科技,2012/2/17,CSRC商务服务业,Wind半导体与半导体生产设备
002655.SZ,共达电声,2012/2/17,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002656.SZ,摩登大道,2012/2/28,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002657.SZ,中科金财,2012/2/28,CSRC软件和信息技术服务业,Wind软件与服务
002658.SZ,雪迪龙,2012/3/9,CSRC仪器仪表制造业,Wind技术硬件与设备
002659.SZ,凯文教育,2012/3/9,CSRC教育,Wind消费者服务Ⅱ
002660.SZ,茂硕电源,2012/3/16,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
002661.SZ,克明面业,2012/3/16,CSRC食品制造业,Wind食品、饮料与烟草
002662.SZ,京威股份,2012/3/9,CSRC汽车制造业,Wind汽车与汽车零部件
002663.SZ,普邦股份,2012/3/16,CSRC土木工程建筑业,Wind资本货物
002664.SZ,长鹰信质,2012/3/16,CSRC汽车制造业,Wind汽车与汽车零部件
002665.SZ,首航节能,2012/3/27,CSRC电气机械及器材制造业,Wind资本货物
002666.SZ,德联集团,2012/3/27,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002667.SZ,鞍重股份,2012/3/29,CSRC专用设备制造业,Wind资本货物
002668.SZ,奥马电器,2012/4/16,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002669.SZ,康达新材,2012/4/16,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002670.SZ,国盛金控,2012/4/16,CSRC资本市场服务,Wind多元金融
002671.SZ,龙泉股份,2012/4/26,CSRC非金属矿物制品业,Wind资本货物
002672.SZ,东江环保,2012/4/26,CSRC废弃资源综合利用业,Wind商业和专业服务
002673.SZ,西部证券,2012/5/3,CSRC资本市场服务,Wind多元金融
002674.SZ,兴业科技,2012/5/7,CSRC皮革、毛皮、羽毛及其制品和制鞋业,Wind耐用消费品与服装
002675.SZ,东诚药业,2012/5/25,CSRC医药制造业,Wind制药、生物科技与生命科学
002676.SZ,顺威股份,2012/5/25,CSRC橡胶和塑料制品业,Wind耐用消费品与服装
002677.SZ,浙江美大,2012/5/25,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002678.SZ,珠江钢琴,2012/5/30,CSRC文教、工美、体育和娱乐用品制造业,Wind耐用消费品与服装
002679.SZ,福建金森,2012/6/5,CSRC林业,Wind材料Ⅱ
002680.SZ,*ST长生,2012/6/5,CSRC医药制造业,Wind制药、生物科技与生命科学
002681.SZ,奋达科技,2012/6/5,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
002682.SZ,龙洲股份,2012/6/12,CSRC道路运输业,Wind运输
002683.SZ,宏大爆破,2012/6/12,CSRC开采辅助活动,Wind材料Ⅱ
002684.SZ,*ST猛狮,2012/6/12,CSRC电气机械及器材制造业,Wind资本货物
002685.SZ,华东重机,2012/6/12,CSRC通用设备制造业,Wind资本货物
002686.SZ,亿利达,2012/7/3,CSRC通用设备制造业,Wind资本货物
002687.SZ,乔治白,2012/7/13,CSRC纺织服装、服饰业,Wind耐用消费品与服装
002688.SZ,金河生物,2012/7/13,CSRC医药制造业,Wind制药、生物科技与生命科学
002689.SZ,远大智能,2012/7/17,CSRC通用设备制造业,Wind资本货物
002690.SZ,美亚光电,2012/7/31,CSRC专用设备制造业,Wind资本货物
002691.SZ,冀凯股份,2012/7/31,CSRC专用设备制造业,Wind资本货物
002692.SZ,ST远程,2012/8/8,CSRC电气机械及器材制造业,Wind资本货物
002693.SZ,双成药业,2012/8/8,CSRC医药制造业,Wind制药、生物科技与生命科学
002694.SZ,顾地科技,2012/8/16,CSRC橡胶和塑料制品业,Wind资本货物
002695.SZ,煌上煌,2012/9/5,CSRC农副食品加工业,Wind食品、饮料与烟草
002696.SZ,百洋股份,2012/9/5,CSRC渔业,Wind食品、饮料与烟草
002697.SZ,红旗连锁,2012/9/5,CSRC零售业,Wind食品与主要用品零售Ⅱ
002698.SZ,博实股份,2012/9/11,CSRC专用设备制造业,Wind资本货物
002699.SZ,美盛文化,2012/9/11,CSRC文化艺术业,Wind耐用消费品与服装
002700.SZ,新疆浩源,2012/9/21,CSRC燃气生产和供应业,Wind公用事业Ⅱ
002701.SZ,奥瑞金,2012/10/11,CSRC金属制品业,Wind材料Ⅱ
002702.SZ,海欣食品,2012/10/11,CSRC农副食品加工业,Wind食品、饮料与烟草
002703.SZ,浙江世宝,2012/11/2,CSRC汽车制造业,Wind汽车与汽车零部件
002705.SZ,新宝股份,2014/1/21,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002706.SZ,良信电器,2014/1/21,CSRC电气机械及器材制造业,Wind资本货物
002707.SZ,众信旅游,2014/1/23,CSRC商务服务业,Wind消费者服务Ⅱ
002708.SZ,光洋股份,2014/1/21,CSRC汽车制造业,Wind汽车与汽车零部件
002709.SZ,天赐材料,2014/1/23,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
